"","baseMean","log2FoldChange","padj","T1-2442","T2-2443","T3-2538","T31","T32","T33","T34","T27-2846","T28-3102","T29-4247","T42","T43","T44","T45","Significance"
"Slc30a10",23.593320288916,4.43150944861716,1.60379897753161e-07,3.28524878582027,1.62588224187953,0.550394452212543,1.31737414756425,1.27646768309548,0,6.39657771899487,29.1521822362904,2.13631477653833,21.2873749466012,53.6212310695768,125.121094570183,53.87315336903,30.6631880470377,"p < 0.001"
"Aqp8",156.443210156556,4.39364781651181,2.2365385950176e-06,17.0832936862654,7.31647008845789,5.50394452212544,22.3953605085922,11.4882091478593,8.55146880735291,27.413904509978,24.6672311230149,16.0223608240374,48.8357425245556,216.868090103622,249.224944469064,1239.08252748769,295.75139438917,"p < 0.001"
"Ghrl",81.963214073765,4.16271078455023,4.20145213134974e-09,9.85574635746081,1.62588224187953,4.40315561770035,0,14.0411445140503,26.7233400229779,4.56898408499634,82.9715955955956,114.2928405448,42.5747498932023,110.817210877125,76.2933503476726,477.316138849605,182.000858085643,"p < 0.001"
"Cytl1",19.0909050141118,3.9595650562689,2.45238004280077e-09,5.25639805731243,2.4388233628193,0.550394452212543,2.6347482951285,0,2.13786720183823,2.7413904509978,10.0911400048697,19.2268329888449,42.5747498932023,33.3643215544034,41.7070315233944,80.8097300535449,23.739242358997,"p < 0.001"
"Plin4",13.7804197932857,3.73092554957635,1.27162504147085e-07,4.59934830014838,0,1.10078890442509,2.6347482951285,0,2.13786720183823,2.7413904509978,17.9398044531018,20.2949903771141,27.5483675779544,20.2569095151735,46.7932548799059,40.9435965604628,5.93481058974924,"p < 0.001"
"Zbtb16",25.4967641930625,3.4486576301596,4.7065339504233e-11,3.94229854298433,2.4388233628193,4.95355006991289,5.269496590257,0,8.55146880735291,4.56898408499634,50.4557000243487,80.1118041201872,65.1143233660741,61.9623114581777,23.3966274399529,20.4717982802314,25.71751255558,"p < 0.001"
"Dpep1",183.14624439066,3.44250766007121,0.00247328769688531,27.5960898008903,8.12941120939765,47.8843173424913,14.4911156232067,0,99.4108248854776,18.2759363399853,53.8194133593053,169.837024734797,73.8797130499687,47.6633165062905,200.397200246553,1513.83560966974,288.82744870113,"p < 0.05"
"Tacr2",15.9856197361027,3.42254880407354,0.000119998266149697,0.657049757164054,0,0,0,1.27646768309548,7.4825352064338,10.0517649869919,34.7583711278847,32.0447216480749,37.5659557881197,21.4484924278307,22.3793827686506,45.2534488299852,10.8804860812069,"p < 0.001"
"Trpm3",59.7296165868214,3.29432825888592,2.82345701239177e-08,10.5127961146249,3.25176448375906,19.8142002796516,9.22161903294975,5.10587073238192,7.4825352064338,21.0173267909831,43.7282733544355,65.1576006844189,52.5923381033676,177.545853985932,274.656061251621,117.443474344485,28.6849178504547,"p < 0.001"
"Peg10",153.220253375194,3.13816240025899,5.42510725069333e-09,22.3396917435778,18.6976457816146,12.6590724008885,30.2996053939777,19.1470152464322,66.2738832569851,50.2588249349597,86.3353089305522,340.742206857863,82.6451027338633,231.167085055509,173.948838792694,768.231167042367,242.338099081427,"p < 0.001"
"Pck1",1071.33853006088,3.13686037213874,2.07428977465967e-06,211.570021806825,156.084695220435,523.975518506341,77.7250747062907,157.005525020744,292.887806651837,110.569414856911,312.825340150962,725.278866634761,1543.96078289172,3443.67461757949,4143.23754621427,2668.87601790174,631.068192710002,"p < 0.001"
"Amn",20.0356100205485,3.11524868198052,6.34637473805946e-05,9.19869660029676,7.31647008845789,3.30236671327526,3.95212244269275,2.55293536619096,2.13786720183823,0,7.84866444823202,12.81788865923,12.5219852627066,23.8316582531453,60.0174356068358,102.358991401157,32.6414582436208,"p < 0.001"
"Hoxa11-as",1780.87065719598,3.10144463813282,4.30451859684998e-07,151.778493904897,434.110558581835,56.690628577892,588.86624396122,652.27498606179,110.100160894669,609.502476938511,1554.03556074994,1932.29671537891,3587.54877776543,5482.47298113607,3642.75316793354,4622.31655906277,1507.44188979631,"p < 0.001"
"Pkhd1l1",36.6746935461775,3.06948962021093,4.44180068838206e-07,3.94229854298433,0.812941120939765,2.75197226106272,9.22161903294975,12.7646768309548,13.8961368119485,12.7931554379897,50.4557000243487,29.9084068715366,63.8621248398035,39.3222361176897,86.4657970606956,160.541997039709,26.7066476538716,"p < 0.001"
"Hoxa13",652.106208914422,3.06507322829203,4.20223995954736e-07,119.583055803858,64.2223485542415,15.4110446619512,243.714217299386,229.764182957186,50.2398792431984,253.121718308797,483.253482455428,1126.90604462397,1165.79682795798,1129.62060119909,1535.02220899517,1950.20815195888,762.623160782777,"p < 0.001"
"Grem2",86.1760728695305,3.03688818604445,8.4428982147136e-08,19.0544429577576,7.31647008845789,7.70552233097561,19.7606122134637,6.3823384154774,44.8952112386028,26.5001076929788,109.881302275248,91.861535391148,219.134742097365,50.046482331605,84.431307718091,412.668354806769,106.826590615486,"p < 0.001"
"Tex15",28.2527798518234,3.02200810033872,0.000716238976314104,1.97114927149216,5.69058784657836,20.9149891840767,0,1.27646768309548,9.62040240827203,2.7413904509978,3.36371333495658,64.0894432961498,17.5307793677892,34.5559044670606,90.5347757459048,118.520937411866,24.7283774572885,"p < 0.001"
"Pld6",15.387408218861,2.93098036749599,6.1755705495883e-06,2.62819902865622,5.69058784657836,1.10078890442509,7.9042448853855,3.82940304928644,1.06893360091911,3.65518726799707,8.96990222655088,14.9542034357683,22.5395734728718,46.4717335936332,45.7760102086036,40.9435965604628,9.8913509829154,"p < 0.001"
"Edn2",34.6031528168192,2.89845125757109,7.30876843063181e-07,5.91344781447649,8.12941120939765,9.90710013982578,3.95212244269275,7.65880609857288,17.1029376147058,4.56898408499634,13.4548533398263,46.9989250838432,13.7741837889772,79.8360551480366,96.6382437737187,126.06317888353,50.4458900128685,"p < 0.001"
"Vip",17.2977055479643,2.89021045367462,0.000116565334189683,2.62819902865622,0,3.30236671327526,2.6347482951285,0,6.41360160551469,13.706952254989,8.96990222655088,26.7039347067291,37.5659557881197,22.640075340488,44.7587655373013,56.0280795037911,16.8152966709562,"p < 0.001"
"Hoxd4",74.9270089767495,-3.90719135533758,2.23416920977074e-08,300.928788781137,179.659987727688,119.435596130122,34.2517278366705,10.2117414647638,301.43927545919,37.46566949697,21.3035177880583,10.6815738826916,3.75659557881197,8.34108038860084,4.06897868520921,7.54224147166419,9.8913509829154,"p < 0.001"
"Slc10a2",12.8573259864694,-3.90720194297129,0.000888283203369092,7.2275473288046,55.279996223904,9.90710013982578,11.8563673280782,56.1645780562011,18.1718712156249,10.0517649869919,10.0911400048697,0,1.25219852627066,0,0,0,0,"p < 0.001"
"Hoxb6",519.487694965402,-4.19137858159258,1.62807838220624e-07,1330.52575825721,1059.26228058451,2101.9564129997,258.205332922593,77.8645286688243,1751.98217190643,315.259901864747,139.033484511539,27.7720920949982,103.932477680464,30.9811557290888,13.2241807269299,18.3168721454702,44.5110794231193,"p < 0.001"
"Spink6",12.3188487551883,-4.20395247272588,0.000103496620120309,9.19869660029676,54.4670551029643,5.50394452212544,17.1258639183352,22.9764182957186,2.13786720183823,52.0864185689582,4.48495111327544,0,2.50439705254131,0,0,0,1.97827019658308,"p < 0.001"
"Hoxd3",41.3660763513807,-4.29590097194821,1.55791827555806e-07,166.89063831967,93.488228908073,52.8378674124042,19.7606122134637,5.10587073238192,190.270180963602,22.8449204249817,6.72742666991316,5.34078694134581,0,1.19158291265726,4.06897868520921,8.61970453904479,1.97827019658308,"p < 0.001"
"Hoxb7",246.781656606255,-4.31690559665461,1.07372900291176e-06,592.658880961977,376.391738995111,1378.73810279242,113.294176690525,24.2528859788141,681.979637386395,122.448773477902,47.0919866893921,17.0905182123066,38.8181543143903,7.14949747594358,16.2759147408368,2.1549261347612,36.597998636787,"p < 0.001"
"Il22",13.2884907164803,-4.32546630502018,1.11395237599305e-05,19.0544429577576,30.0788214747713,7.15512787876307,60.5992107879555,30.6352243942915,9.62040240827203,20.1035299739839,0,6.40894432961498,0,2.38316582531453,0,0,0,"p < 0.001"
"Osr2",209.940738429662,-4.34569305062769,8.97366137553348e-06,329.181928339191,308.917625957111,1127.7582325835,76.4077005587265,21.6999506126232,842.319677524262,95.0348689679238,65.0317911424939,24.5676199301907,13.7741837889772,5.95791456328631,1.0172446713023,9.69716760642539,17.8044317692477,"p < 0.001"
"Prl2a1",103.398605007511,-4.56727238434201,5.70693171911287e-12,314.726833681582,418.664677283979,236.119219999181,43.4733468696202,142.964380506694,158.202172936029,74.9313389939399,3.36371333495658,27.7720920949982,7.51319115762394,0,3.0517340139069,11.8520937411866,4.9456754914577,"p < 0.001"
"Bnc1",41.8905272768584,-4.66637485923312,8.4428982147136e-08,28.9101893152184,106.495286843109,17.6126224708014,126.467918166168,163.387863436221,20.3097384174632,101.431446686919,3.36371333495658,2.13631477653833,2.50439705254131,0,0,0,13.8478913760816,"p < 0.001"
"Wfdc21",30.3106668792677,-4.7320275024669,4.06917410040954e-11,36.794786401187,96.7399933918321,27.5197226106272,55.3297141976985,59.9939811054876,25.6544064220587,106.914227588914,3.36371333495658,8.5452591061533,2.50439705254131,0,0,0,0.98913509829154,"p < 0.001"
"Ugt2b7",79.0891370019817,-4.95468440530002,3.76501857116662e-11,68.9902245022257,427.607029614317,123.28835729561,81.6771971489835,234.870053689568,48.1020120413601,88.6382912489289,6.72742666991316,3.20447216480749,1.25219852627066,0,5.08622335651151,0,17.8044317692477,"p < 0.001"
"Wfdc18",14.6387617630174,-5.91735764709994,4.51586493141778e-07,11.1698458717889,50.4023494982655,5.50394452212544,15.808489770771,45.9528365914373,12.8272032110294,60.3105899219516,0,0,0,0,0,0,2.96740529487462,"p < 0.001"
"Serpinb13",78.3907326867707,-5.98392538083838,2.2429074380719e-09,58.4774283876008,208.92586808152,52.8378674124042,169.941265035788,314.011050041488,47.033078440441,229.363001066816,4.48495111327544,0,2.50439705254131,0,0,0,9.8913509829154,"p < 0.001"
"Csf3",34.4731479353055,-6.14532751350273,4.01350980031865e-12,76.8748215881943,69.0999952798801,32.4732726805401,142.276407936939,19.1470152464322,110.100160894669,25.5863108759795,0,1.06815738826916,5.00879410508263,0,0,0,0.98913509829154,"p < 0.001"
"Reg4",2138.3794376705,-6.56593323620173,1.80053200075547e-05,773.347564182092,2703.02922712472,25943.9432939427,22.3953605085922,6.3823384154774,158.202172936029,17.3621395229861,43.7282733544355,49.1352398603815,12.5219852627066,27.406406991117,45.7760102086036,115.288548209724,18.7935668675393,"p < 0.001"
"Reg3g",7464.17428643204,-7.02804007898499,4.01285074727855e-06,7082.33933247134,40999.8724934761,10148.7233043471,10113.4813308507,24146.9391611172,5353.21947340292,5859.2651905993,495.587098016936,249.948828854984,45.0791469457436,0,1.0172446713023,0,2.96740529487462,"p < 0.001"
"Serpinb3",73.0312687091778,-7.24831324205384,8.0220759241064e-08,29.5672390723824,106.495286843109,18.7134113752265,405.751237449789,169.770201851699,58.7913480505513,226.621610615818,6.72742666991316,0,0,0,0,0,0,"p < 0.001"
"Serpinb3a",53.4860262448028,-9.04516583172093,3.0938184267882e-17,26.2819902865622,91.0494055452537,21.4653836362892,175.210761626045,117.435026844784,45.9641448395219,271.397654648782,0,0,0,0,0,0,0,"p < 0.001"
"Reg3b",16399.9351814879,-9.25585532402299,1.24609605347762e-16,12294.7150560538,101523.338947442,18964.9416398876,18739.6472491015,50537.9085091163,10345.1393896952,16818.4304168715,178.276806752699,126.042571815761,42.5747498932023,0,1.0172446713023,4.3098522695224,22.7501072607054,"p < 0.001"
